Time,Latitude,Longitude,Depth,Magnitude,injectivity
18861,43.7283,-121.3095,0.89,0.83,1.450826165
22385,43.7271,-121.3093,0.88,0.81,1.59790941
25081,43.7261,-121.3077,0.86,0.6,1.777298468
23485,43.7283,-121.3091,0.91,1.51,1.6345999
25836,43.7271,-121.3099,0.77,0.71,1.860664065
23459,43.727,-121.3119,-0.1,0.46,1.6345999
23469,43.7287,-121.3133,-0.72,0.79,1.645864765
23480,43.7286,-121.3119,-0.65,0.43,1.604718146
23496,43.7305,-121.3119,-0.51,0.65,1.620863766
25347,43.7266,-121.313,-0.33,0.75,2.053692139
25956,43.7282,-121.3091,0.95,1.25,1.866246057
26300,43.7291,-121.3129,-0.34,0.65,1.720113435
27556,43.7256,-121.3072,0.02,1.23,1.921135647
25804,43.7359,-121.3136,-0.5,1.26,1.899389019
26738,43.73,-121.313,-0.42,0.81,1.740991398
25631,43.7294,-121.3143,-0.85,1.02,1.920249378
27975,43.7283,-121.3112,-0.52,0.6,1.921135647
28597,43.7261,-121.3144,-0.98,1.03,1.921135647
30802,43.7266,-121.3143,-0.56,0.72,1.84092396
27550,43.7308,-121.3114,-0.5,0.76,1.921135647
34829,43.7267,-121.309,-0.58,0.34,2.040106041
36393,43.7222,-121.318,-0.57,0.83,2.008155728
37556,43.7276,-121.31,-0.72,1.21,2.130767437
38350,43.728,-121.3085,-0.67,0.52,2.085548521
38239,43.7271,-121.3122,-0.92,0.87,2.126005243
38496,43.7286,-121.3077,-0.37,0.7,2.091031996
39014,43.7165,-121.3164,-0.17,0.42,2.06210891
39017,43.7208,-121.3138,-0.57,1.15,2.067758524
43355,43.7232,-121.3137,-0.71,1.16,2.420175922
41311,43.7275,-121.3077,-0.68,0.63,2.131365821
43436,43.7258,-121.3123,-0.52,0.76,2.384388214
43982,43.7308,-121.3092,-0.78,0.65,2.411971936
44454,43.7255,-121.3094,-0.41,0.39,11.96311575
44607,43.7314,-121.3107,-1.17,0.7,12.44164038
46218,43.723,-121.3174,-1.44,1.07,8.209981396
46227,43.7223,-121.3167,-1.53,0.89,8.538380652
46191,43.7262,-121.3133,-0.68,0.84,7.975410499
46211,43.7263,-121.3132,-0.9,0.72,8.209981396
46226,43.7255,-121.3064,-0.49,0.52,8.092695948
47185,43.7259,-121.3113,-0.36,0.63,13.23578764
47207,43.7261,-121.3123,-1.04,0.32,12.84649977
48530,43.7262,-121.3067,-0.85,0.47,13.43043157
48531,43.7264,-121.3044,-0.27,0.68,13.62507551
46376,43.7219,-121.3142,-0.46,1.36,8.444552293
47786,43.7253,-121.3109,-0.65,0.71,12.25867508
50260,43.8058,-121.311,2.02,2.05,14.23063442
50467,43.8081,-121.3118,2.13,1.88,13.23578764
51160,43.7284,-121.3112,-0.38,0.45,14.02733964
55243,43.7208,-121.3154,-0.89,0.88,13.82404487
59399,43.7267,-121.3148,-0.99,0.14,1.842172617
59403,43.727,-121.3142,-0.76,0.39,1.842111723
61622,43.728,-121.3112,-0.42,0.42,1.761018432
61634,43.7271,-121.3103,-1.01,0.31,1.829652997
62587,43.7318,-121.3203,-0.87,0.76,1.782365742
65230,43.73,-121.2988,-1.7,1.07,0.966211376
65124,43.7208,-121.3142,-0.79,1.34,0.803923763
65243,43.7271,-121.3175,-0.7,2.04,0.934570955
67117,43.7303,-121.3116,-0.83,0.5,1.295147627
65337,43.7259,-121.3174,-0.92,0.59,1.080003505
66411,43.7295,-121.3099,-0.15,0.52,1.035141358
65235,43.7266,-121.3177,-0.81,0.86,0.943346269
67333,43.7279,-121.3092,0.42,0.53,1.25634805
68810,43.729,-121.3126,-0.9,0.85,1.399402055
67465,43.7276,-121.3102,-0.68,0.59,1.288560332
67325,43.7292,-121.3133,-0.91,0.52,1.225580343
67488,43.7266,-121.3145,-1.03,0.81,1.252624386
68660,43.7272,-121.3176,-0.5,1.45,1.252136827
68962,43.7271,-121.317,-0.67,1.85,1.304385358
67666,43.7258,-121.3177,-0.74,0.85,1.226955854
68144,43.7277,-121.3133,-0.77,0.93,1.300141018
71208,43.7272,-121.3098,0.7,0.71,1.226117493
68762,43.7264,-121.3119,-0.51,0.43,1.25724759
69160,43.727,-121.3087,0.69,0.78,1.351154847
67942,43.7222,-121.315,-0.81,0.91,1.18517821
67946,43.7258,-121.3028,-0.26,0.57,1.174254908
69935,43.727,-121.3174,-0.48,1.33,0.181667673
67785,43.7207,-121.3181,-0.61,1.17,1.24749068
72351,43.7212,-121.3143,-0.83,1.06,1.182237321
70260,43.7264,-121.3153,-0.57,0.95,1.74578677
70197,43.7279,-121.3127,-0.56,1.52,1.834702637
70813,43.7224,-121.3127,-0.23,0.53,1.180072051
72264,43.7215,-121.3149,-0.73,0.59,1.16957632
72036,43.7266,-121.3173,-0.79,0.62,1.205995016
72172,43.7229,-121.317,-0.45,0.77,1.17552835
72719,43.7281,-121.3094,0.77,0.83,1.171789867
72259,43.7223,-121.3144,-1.02,0.69,1.158307453
70069,43.7265,-121.3151,-0.89,0.74,1.212935227
72432,43.7212,-121.3154,-0.8,0.67,1.203842346
73606,43.7271,-121.315,-0.52,1.24,1.203833444
72792,43.7234,-121.3161,-0.65,1.04,1.219157558
72408,43.7228,-121.317,-0.7,0.66,1.160496018
72673,43.7231,-121.3178,-0.7,1.17,1.188626947
73421,43.7263,-121.3115,-0.74,1.35,1.140790837
73117,43.7268,-121.3056,-0.21,0.92,1.083494924
73169,43.7268,-121.3096,-0.7,1.08,1.209431642
74601,43.7276,-121.3109,-0.66,1.01,1.284187174
74643,43.7275,-121.3076,-0.56,0.58,1.263272074
72132,43.7257,-121.3105,0.98,1.06,1.166141999
72394,43.7238,-121.3123,-0.38,1.6,1.214784932
72123,43.7227,-121.3187,-0.8,1.05,1.197591052
76131,43.7548,-121.2115,6.11,1.75,0.222740365
75043,43.7271,-121.3094,0.73,0.55,1.292553215
75832,43.727,-121.3098,0.65,0.41,1.216826425
75090,43.7281,-121.3191,-1.03,0.59,1.317651335
74567,43.7258,-121.3115,-0.48,0.65,1.227002694
74687,43.7261,-121.3106,-0.81,0.7,1.320626649
74865,43.726,-121.3125,-0.75,0.49,1.257938675
75083,43.7238,-121.3119,-0.64,0.5,1.288370194
76061,43.7293,-121.3119,-0.52,0.33,1.263724292
76086,43.7284,-121.3106,-0.04,0.46,1.306240241
75407,43.7263,-121.3089,0.54,0.66,1.316889246
76105,43.7232,-121.3168,-0.87,0.57,0.175928173
76178,43.7258,-121.3209,-0.73,0.71,0.325065253
75606,43.7225,-121.3179,-0.7,0.89,1.434277961
75646,43.7223,-121.3177,-0.55,0.72,1.214482258
75790,43.7229,-121.3171,-0.63,1.64,1.070049767
75820,43.7225,-121.3175,-0.41,0.73,1.187577908
75914,43.7223,-121.3169,-0.79,0.56,1.257254649
75303,43.7271,-121.3068,-0.96,0.45,1.254500119
